2024-07-17 23:35:11.537 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-07-17 23:35:12.005 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2024-07-17 23:35:12.063 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3a2d561e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@231ed77c, org.springframework.security.web.context.SecurityContextHolderFilter@7b95b047, org.springframework.security.web.header.HeaderWriterFilter@284f413f, org.springframework.web.filter.CorsFilter@11c9ea, org.springframework.security.web.authentication.logout.LogoutFilter@44abbdd0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4fb5d734, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@40fec7cb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e1ebb7, org.springframework.security.web.access.ExceptionTranslationFilter@58aaedc4, org.springframework.security.web.access.intercept.AuthorizationFilter@3336389f]
2024-07-17 23:35:12.602 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2024-07-17 23:35:12.627 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Started BookStoreFrontApplication in 3.432 seconds (process running for 189.006)
2024-07-17 23:35:12.632 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-07-17 23:35:12.635 [scheduling-1] INFO  c.n.b.global.config.CacheConfig - Refresh categoriesCache completed.
2024-07-17 23:38:21.211 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Starting BookStoreFrontApplication using Java 21.0.3 with PID 40714 (/Users/dlrudgjs/Desktop/GitHub/book-store-front/target/classes started by dlrudgjs in /Users/dlrudgjs/Desktop/GitHub/book-store-front)
2024-07-17 23:38:21.216 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - The following 1 profile is active: "dev"
2024-07-17 23:38:21.283 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-07-17 23:38:21.285 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-07-17 23:38:22.468 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-07-17 23:38:22.472 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-07-17 23:38:22.514 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35 ms. Found 0 Redis repository interfaces.
2024-07-17 23:38:22.748 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1039886f-b335-3755-825b-2a0b8fcf8631
2024-07-17 23:38:23.413 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-07-17 23:38:23.424 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-17 23:38:23.425 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-07-17 23:38:23.455 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-17 23:38:23.456 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2171 ms
2024-07-17 23:38:23.805 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-07-17 23:38:25.330 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2024-07-17 23:38:25.488 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5e8366f6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2d12c72f, org.springframework.security.web.context.SecurityContextHolderFilter@2610512b, org.springframework.security.web.header.HeaderWriterFilter@7a2db58d, org.springframework.web.filter.CorsFilter@56365320, org.springframework.security.web.authentication.logout.LogoutFilter@5ea7a76e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f1eb2e2, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@4e4e42f9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@b8ee478, org.springframework.security.web.access.ExceptionTranslationFilter@691f8d6d, org.springframework.security.web.access.intercept.AuthorizationFilter@396856e3]
2024-07-17 23:38:26.574 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2024-07-17 23:38:26.593 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Started BookStoreFrontApplication in 6.135 seconds (process running for 11.983)
2024-07-17 23:38:26.596 [scheduling-1] INFO  c.n.b.global.config.CacheConfig - Refresh categoriesCache completed.
2024-07-17 23:41:36.579 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Starting BookStoreFrontApplication using Java 21.0.3 with PID 40941 (/Users/dlrudgjs/Desktop/GitHub/book-store-front/target/classes started by dlrudgjs in /Users/dlrudgjs/Desktop/GitHub/book-store-front)
2024-07-17 23:41:36.582 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - The following 1 profile is active: "dev"
2024-07-17 23:41:36.630 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-07-17 23:41:36.630 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-07-17 23:41:37.645 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-07-17 23:41:37.649 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-07-17 23:41:37.683 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 27 ms. Found 0 Redis repository interfaces.
2024-07-17 23:41:37.900 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1039886f-b335-3755-825b-2a0b8fcf8631
2024-07-17 23:41:38.540 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
2024-07-17 23:41:38.548 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2024-07-17 23:41:38.550 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2024-07-17 23:41:38.577 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-07-17 23:41:38.577 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1947 ms
2024-07-17 23:41:38.991 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-07-17 23:41:39.866 [restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2024-07-17 23:41:40.283 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3d4a5e5e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@234754d3, org.springframework.security.web.context.SecurityContextHolderFilter@543b7af, org.springframework.security.web.header.HeaderWriterFilter@2b1255f6, org.springframework.web.filter.CorsFilter@50264b25, org.springframework.security.web.authentication.logout.LogoutFilter@2bb1c20f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@784a5800, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@705d62ae, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@65ada3f3, org.springframework.security.web.access.ExceptionTranslationFilter@238bd4dd, org.springframework.security.web.access.intercept.AuthorizationFilter@21e2187]
2024-07-17 23:41:41.304 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8081 (http) with context path '/'
2024-07-17 23:41:41.322 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Started BookStoreFrontApplication in 5.454 seconds (process running for 11.327)
2024-07-17 23:41:41.327 [scheduling-1] INFO  c.n.b.global.config.CacheConfig - Refresh categoriesCache completed.
2024-07-17 23:45:31.445 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-07-17 23:45:31.959 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - Starting BookStoreFrontApplication using Java 21.0.3 with PID 40941 (/Users/dlrudgjs/Desktop/GitHub/book-store-front/target/classes started by dlrudgjs in /Users/dlrudgjs/Desktop/GitHub/book-store-front)
2024-07-17 23:45:31.960 [restartedMain] INFO  c.n.b.BookStoreFrontApplication - The following 1 profile is active: "dev"
2024-07-17 23:45:32.414 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-07-17 23:45:32.415 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-07-17 23:45:32.501 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 83 ms. Found 0 Redis repository interfaces.
2024-07-17 23:45:32.819 [restartedMain] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=1039886f-b335-3755-825b-2a0b8fcf8631
2024-07-17 23:45:33.088 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8081 (http)
